Rec,Inf,UID,Name,Nat,2nd Nat,Age,Position,Club,Division,Wage,Mins,Height,Weight,Loan Expires,Expires,Min WD,Max AP,Max WD,Min AP,NP-xG/90,NP-xG,xGP/90,Clr/90,Int/90,Tck/90,Tck R,Tck W,Blk/90,Hdr %,Hdrs W/90,Poss Won/90,Pres A/90,Poss Lost/90,Pas %,Ps C/90,Pr passes/90,Asts/90,xA/90,Cr C/90,Drb/90,Shot %,Shot/90,ShT/90,xG/90,xG-OP,Gls/90,xG,Sprints/90
- - -,,89061033,George Carline,ENG,,31,D/WB (R),Brackley,Vanarama National League North,â¬825 p/w,2711,"6'2""",74 kg,-,30/6/2024,,-,,-,0.03,0.93,-,1.39,1.79,1.76,79%,53,0.73,65%,6.31,14.31,10.06,16.23,82%,40.24,5.51,0.17,0.15,0.40,1.20,54%,0.43,0.23,0.03,-0.93,-,0.93,12.58
- - -,,29219537,Brad Nicholson,ENG,,25,D (LC),Boston Utd,Vanarama National League North,â¬325 p/w,2092,"6'2""",85 kg,-,30/6/2025,,-,,-,0.03,0.68,-,2.19,1.94,1.85,78%,43,0.73,65%,4.90,14.07,7.79,13.25,82%,42.55,6.75,0.09,0.13,0.73,1.16,31%,0.56,0.17,0.03,0.32,0.04,0.68,9.72
- - -,,29083573,Bradley Barry,ENG,,29,D/WB (R),Eastbourne Borough,Vanarama National League South,"â¬1,200 p/w",4771,"5'11""",66 kg,-,30/6/2025,,-,,-,0.03,1.55,-,1.43,2.47,2.47,83%,131,0.47,65%,3.85,11.81,11.13,15.36,85%,34.69,4.0,0.25,0.18,1.91,1.55,43%,0.43,0.19,0.03,0.45,0.04,1.55,16.13
- - -,,2000105664,Jem Hewlett,ENG,,19,D (C),Chippenham,Vanarama National League South,â¬575 p/w,3478,"6'2""",81 kg,29/6/2024,30/6/2025,,-,,-,0.11,4.28,-,1.58,1.16,1.09,84%,42,0.54,65%,5.28,18.99,3.03,3.6,83%,46.42,3.18,0.08,0.05,0.03,0.05,21%,1.01,0.21,0.11,-1.28,0.08,4.28,5.64
- - -,Ctr,29191692,Will Dean,ENG,,23,DM,Truro,Vanarama National League South,â¬180 p/w,3731,"5'10""",77 kg,-,-,,-,,-,0.04,1.76,-,1.47,1.30,1.86,77%,77,0.41,64%,3.23,11.53,9.24,6.61,87%,46.12,4.44,0.24,0.15,0.75,0.70,11%,0.46,0.05,0.04,-0.76,0.02,1.76,9.36
- - -,,89066034,Alfy Whittingham,ENG,,25,"DM, M (C)",Hampton & Richmond,Vanarama National League South,â¬475 p/w,2834,"6'0""",73 kg,-,30/6/2026,,-,,-,0.12,3.88,-,1.14,0.95,1.78,86%,56,0.44,64%,2.41,12.77,9.05,6.32,89%,45.06,3.97,0.25,0.18,0.16,0.70,47%,0.95,0.44,0.12,-0.88,0.10,3.88,9.78
- - -,,29214239,Reece Staunton,IRL,ENG,22,D (C),Spennymoor,Vanarama National League North,â¬350 p/w,4590,"6'0""",77 kg,-,30/6/2025,,-,,-,0.02,0.96,-,1.37,2.27,0.86,73%,44,0.67,64%,3.57,11.92,3.04,9.67,83%,41.69,3.59,0.18,0.12,0.94,0.18,14%,0.27,0.04,0.02,-0.96,-,0.96,5.55
- - -,,2000280919,Dan Bayliss,ENG,,25,D (C),Slough,Vanarama National League South,â¬350 p/w,4335,"6'0""",79 kg,-,30/5/2025,,-,,-,0.06,2.99,-,1.85,1.41,1.0,72%,48,0.48,64%,5.21,14.37,3.01,3.72,85%,43.12,3.45,0.08,0.06,0.04,0.02,17%,0.60,0.10,0.06,-1.99,0.02,2.99,4.86
- - -,Wnt,2000039630,Kyle Ajayi,ENG,,23,D (C),Hemel Hempstead,Vanarama National League South,,1818,"6'2""",93 kg,-,-,,-,,-,0.08,1.6,-,1.24,1.39,1.09,88%,22,0.40,64%,5.94,12.38,3.12,5.2,83%,43.86,3.71,-,0.03,0.00,0.10,33%,0.45,0.15,0.08,-1.6,-,1.6,3.47
- - -,,90040871,Ryan Fryatt,ENG,POR,30,D (C),Peterborough Sports,Vanarama National League North,â¬400 p/w,2563,"6'1""",84 kg,-,30/6/2024,,-,,-,0.01,0.42,-,1.37,1.76,1.26,80%,36,0.42,64%,5.41,12.92,3.27,11.1,76%,35.75,5.09,0.11,0.06,0.04,0.04,80%,0.18,0.14,0.01,1.58,0.07,0.42,7.48
- - -,,28059654,Will Hayhurst,IRL,ENG,30,D/WB (L),Curzon Ashton,Vanarama National League North,â¬230 p/w,3868,"5'9""",73 kg,-,30/6/2024,,-,,-,0.04,1.84,-,2.09,2.26,2.05,80%,88,0.88,64%,3.93,11.8,9.28,14.54,81%,31.02,4.58,0.28,0.15,1.33,1.72,48%,0.77,0.37,0.06,-0.64,0.05,2.64,16.08
- - -,,31035528,Sam Beard,ENG,,26,D/WB (L),Eastbourne Borough,Vanarama National League South,"â¬1,000 p/w",4058,"5'8""",71 kg,-,30/6/2025,,-,,-,0.0,0.2,-,1.4,2.93,2.24,89%,101,0.80,64%,2.91,12.42,11.73,14.15,84%,34.93,3.3,0.13,0.1,1.51,1.06,33%,0.07,0.02,0.0,-0.2,-,0.2,14.42
- - -,,2000040232,Danny Benson,ENG,,20,D (C),Maidstone,Vanarama National League South,â¬850 p/w,2616,"6'1""",75 kg,29/6/2024,30/6/2025,,-,,-,0.04,1.07,-,1.72,2.06,1.14,79%,33,0.38,64%,4.20,13.31,2.86,4.64,85%,43.59,3.68,0.03,0.0,0.07,0.10,13%,0.52,0.07,0.04,-1.07,-,1.07,4.78
- - -,,29110619,Jason Pope,ENG,,28,"D (RC), DM, M (C)",Weston-super-Mare,Vanarama National League South,â¬525 p/w,4029,"5'11""",64 kg,-,30/5/2026,,-,,-,0.09,4.21,-,1.74,1.41,0.96,65%,43,0.56,64%,4.02,10.68,4.67,6.08,85%,44.72,3.4,0.11,0.04,0.11,0.18,24%,0.65,0.16,0.09,-1.21,0.07,4.21,7.15
- - -,,29174585,Jack Bodenham,WAL,,24,D (C),Blyth,Vanarama National League North,â¬400 p/w,4495,"6'2""",83 kg,-,30/6/2024,,-,,-,0.04,1.89,-,1.18,2.50,0.9,79%,45,0.46,64%,4.93,12.99,5.31,8.15,91%,71.96,6.95,0.08,0.07,0.26,0.62,25%,0.40,0.10,0.04,-0.89,0.02,1.89,5.41
- - -,,29191693,Jordan Dyer,ENG,,24,D (C),Bath City,Vanarama National League South,â¬425 p/w,2366,"6'0""",70 kg,-,30/6/2026,,-,,-,0.02,0.56,-,1.41,1.29,0.91,80%,24,0.30,63%,4.49,17.99,3.42,3.88,86%,49.15,3.39,-,0.0,0.04,0.11,14%,0.27,0.04,0.02,-0.56,-,0.56,4.95
- - -,,29193653,Dominic Revan,ENG,,23,D (C),Hampton & Richmond,Vanarama National League South,â¬475 p/w,2950,"6'4""",81 kg,-,30/6/2026,,-,,-,0.11,3.72,-,2.04,1.37,1.31,81%,43,0.61,63%,5.13,16.41,4.27,5.46,84%,48.17,4.48,0.03,0.0,0.00,0.27,19%,0.82,0.15,0.11,-0.72,0.09,3.72,5.89
- - -,,20050511,Richard Bryan,ENG,,28,D (R),South Shields,Vanarama National League North,â¬825 p/w,3142,"5'10""",73 kg,-,30/6/2024,,-,,-,0.01,0.46,-,1.69,2.29,1.49,81%,52,0.77,63%,3.67,12.63,9.11,9.91,89%,57.92,10.11,0.14,0.13,0.49,0.63,43%,0.20,0.09,0.01,-0.46,-,0.46,15.67
- - -,,2000135380,Nana Owusu-Gyimah,ENG,,19,D/WB (R),Torquay,Vanarama National League South,â¬475 p/w,1867,"5'10""",75 kg,29/6/2024,30/6/2025,,-,,-,0.18,3.73,-,1.83,1.74,2.89,92%,60,0.48,63%,4.92,12.73,6.75,13.45,83%,36.49,4.92,0.24,0.11,0.43,1.11,33%,1.88,0.63,0.18,1.27,0.24,3.73,11.09
- - -,,28124739,Cameron Jessup,ENG,,21,D (C),Darlington,Vanarama National League North,â¬300 p/w,4406,"6'0""",73 kg,-,30/6/2024,,-,,-,0.0,0.21,-,1.7,1.61,0.94,82%,46,0.29,63%,4.56,11.64,3.1,8.91,83%,44.92,5.25,-,0.03,0.00,0.10,69%,0.27,0.18,0.1,1.05,0.12,4.95,6.13
- - -,Ctr,2000165812,Eduino Vaz,GNB,POR,20,D (L),Aveley,Vanarama National League South,,3281,"6'0""",74 kg,-,-,,-,,-,0.06,2.13,-,1.67,2.19,2.47,87%,90,0.74,63%,3.76,12.97,7.46,12.89,83%,38.62,5.6,0.16,0.13,0.66,0.93,31%,0.36,0.11,0.06,-2.13,-,2.13,13.14
- - -,Hol,29159617,Mike Calveley,ENG,,24,"DM, M (C)",Chorley,Vanarama National League North,â¬350 p/w,4106,"6'1""",78 kg,-,30/6/2025,,-,,-,0.04,1.79,-,1.42,0.90,1.8,73%,82,0.31,63%,2.59,7.96,7.41,6.77,86%,41.43,4.82,0.04,0.07,0.00,0.28,47%,0.33,0.15,0.04,1.21,0.07,1.79,6.73
- - -,,2000198889,Will Larvin,ENG,,18,D (C),Taunton,Vanarama National League South,â¬325 p/w,1160,"5'10""",82 kg,30/6/2024,30/6/2025,,-,,-,0.04,0.55,-,1.55,1.94,1.01,87%,13,0.62,63%,5.28,8.92,2.87,4.5,85%,45.7,3.41,-,0.01,0.08,-,44%,0.70,0.31,0.04,2.45,0.23,0.55,5.12
- - -,,29072357,Tom Platt,ENG,,30,"DM, M (C)",Darlington,Vanarama National League North,â¬400 p/w,4094,"6'1""",82 kg,-,30/6/2024,,-,,-,0.09,3.98,-,1.47,1.49,1.71,68%,78,0.42,63%,3.91,9.32,11.06,8.31,87%,44.25,3.89,0.11,0.11,0.15,0.46,31%,1.14,0.35,0.09,0.02,0.09,3.98,11.52
- - -,,28105657,Owen Gallacher,SCO,ENG,25,D/WB (L),Spennymoor,Vanarama National League North,â¬350 p/w,4098,"5'9""",62 kg,-,30/6/2024,,-,,-,0.03,1.2,-,2.0,2.26,2.28,86%,104,0.48,63%,3.93,13.97,6.39,12.3,84%,37.51,5.16,0.15,0.19,1.03,1.05,41%,0.37,0.15,0.03,-0.2,0.02,1.2,14.3
- - -,,89061641,Imran Uche,ENG,,25,"DM, M (C)",Eastbourne Borough,Vanarama National League South,â¬600 p/w,2478,"6'4""",88 kg,-,30/6/2024,,-,,-,0.06,1.59,-,1.13,1.16,1.89,74%,52,0.44,63%,3.12,11.51,9.37,7.23,87%,46.02,3.78,0.18,0.18,0.00,0.51,19%,0.58,0.11,0.06,-0.59,0.04,1.59,10.1
- - -,Ret,29005706,Josh Coulson,ENG,,35,D (C),King's Lynn,Vanarama National League North,"â¬1,100 p/w",3044,"6'3""",83 kg,-,30/6/2024,,-,,-,0.01,0.33,-,2.01,1.33,0.86,78%,29,0.65,63%,5.91,12.18,3.81,8.96,83%,43.49,3.16,-,0.02,0.00,0.03,20%,0.15,0.03,0.01,-0.33,-,0.33,3.93
- - -,,29107492,Declan Weeks,WAL,,28,"DM, M (C)",Chester,Vanarama National League North,â¬400 p/w,4424,"5'9""",73 kg,-,30/6/2026,,-,,-,0.06,2.85,-,0.53,1.00,1.4,74%,69,0.28,63%,2.56,7.97,7.34,10.86,89%,46.34,5.27,0.14,0.18,1.02,0.51,38%,1.24,0.47,0.2,0.01,0.20,9.99,8.81
- - -,,2000166425,Casey Shann,SVK,ENG,20,D/WB (L),Worthing,Vanarama National League South,â¬825 p/w,3927,"6'0""",74 kg,29/6/2024,30/6/2025,,-,,-,0.05,2.12,-,1.58,2.15,2.43,86%,106,0.69,63%,3.83,10.27,6.94,15.01,85%,42.42,6.21,0.18,0.1,0.66,0.64,17%,0.41,0.07,0.05,-2.12,-,2.12,11.12
- - -,IPR,2000142141,Nathan James,THA,ENG,19,D (C),Maidstone,Vanarama National League South,â¬475 p/w,2436,"6'1""",72 kg,29/6/2024,30/6/2024,,-,,-,0.14,3.81,-,1.63,1.48,1.15,86%,31,0.55,62%,5.76,16.77,3.51,4.36,88%,45.22,3.99,0.04,0.06,0.07,-,27%,1.37,0.37,0.14,0.19,0.15,3.81,4.47
- - -,,2000036792,Jevon Mills,IRL,ENG,20,D (C),Maidstone,Vanarama National League South,â¬825 p/w,3921,"6'0""",76 kg,29/6/2024,30/6/2024,,-,,-,0.16,7.01,-,1.54,1.26,0.78,74%,34,0.55,62%,5.55,16.0,2.66,4.32,83%,48.0,4.29,0.05,0.05,0.09,0.02,19%,1.65,0.32,0.16,-4.01,0.07,7.01,4.64
- - -,,29139318,Cameron James,ENG,,26,"DM, M (C)",Chelmsford,Vanarama National League South,â¬550 p/w,4191,"6'0""",77 kg,-,30/6/2026,,-,,-,0.06,2.92,-,1.37,1.31,1.98,79%,92,0.41,62%,3.37,13.72,8.74,9.43,85%,39.9,3.52,0.06,0.1,0.26,0.52,31%,0.69,0.21,0.06,-0.92,0.04,2.92,8.74
- - -,,29031124,Chris Atkinson,ENG,,32,"DM, M (C)",Farsley,Vanarama National League North,â¬275 p/w,4150,"6'1""",77 kg,-,30/6/2025,,-,,-,0.06,2.74,-,1.54,1.43,1.67,79%,77,0.76,62%,3.14,9.48,10.11,9.24,86%,41.07,3.95,0.17,0.12,0.67,0.72,35%,1.17,0.41,0.06,0.26,0.07,2.74,11.69
- - -,,2000074547,Sebastian Dabrowski,WAL,POL,18,D (L),Bath City,Vanarama National League South,â¬750 p/w,1004,"5'11""",72 kg,30/6/2024,30/6/2025,,-,,-,0.03,0.34,-,0.99,2.51,2.69,81%,30,0.81,62%,4.03,16.4,6.72,13.09,89%,38.73,5.38,-,0.02,0.45,1.08,0%,0.45,0.00,0.03,-0.34,-,0.34,10.4
- - -,,29187947,Tom Pugh,WAL,ENG,23,"DM, M (C)",Scunthorpe,Vanarama National League North,â¬850 p/w,1695,"5'10""",74 kg,-,30/6/2026,,-,,-,0.12,2.26,-,1.59,1.22,2.28,81%,43,0.32,62%,2.81,7.86,7.38,7.81,89%,49.86,4.3,0.05,0.08,0.37,0.74,42%,1.38,0.58,0.12,-1.26,0.05,2.26,7.17
- - -,,2000057896,Harrison Burke,ENG,,21,D (C),Chester,Vanarama National League North,â¬350 p/w,4414,"6'2""",83 kg,-,30/6/2026,,-,,-,0.04,2.04,-,1.33,1.65,0.88,69%,43,0.27,61%,5.99,12.42,2.18,6.48,89%,51.95,5.1,0.04,0.03,0.02,0.04,52%,0.47,0.24,0.04,-0.04,0.04,2.04,5.55
- - -,Opt,152985,Michael Bostwick,ENG,,36,D (C),Boston Utd,Vanarama National League North,â¬925 p/w,3465,"6'4""",88 kg,-,30/6/2024,,-,,-,0.09,3.46,-,1.56,1.04,1.69,81%,65,0.34,61%,5.40,8.62,8.31,7.9,85%,42.88,5.01,0.21,0.11,0.16,0.26,42%,1.56,0.65,0.15,0.17,0.16,5.83,8.23
- - -,,2000219410,Sam Odaudu,ENG,,21,D (L),Dartford,Vanarama National League South,â¬300 p/w,3579,"6'1""",81 kg,-,30/5/2025,,-,,-,0.04,1.67,-,1.56,2.14,2.24,82%,89,0.65,61%,4.25,11.67,7.32,13.2,86%,38.35,4.9,0.08,0.04,0.40,1.03,17%,0.30,0.05,0.04,-0.67,0.03,1.67,10.61
- - -,,89044152,Shamir Mullings,ENG,JAM,30,ST (C),Truro,Vanarama National League South,â¬140 p/w,1095,"6'5""",90 kg,-,30/6/2025,,-,,-,0.29,3.47,-,0.82,1.48,1.89,96%,23,0.41,61%,4.85,2.63,10.11,22.85,85%,24.66,1.48,-,0.11,0.49,2.88,33%,1.73,0.58,0.29,-1.47,0.16,3.47,10.77
- - -,Ret,52001886,Michael Smith,NIR,CAN,35,D/WB (R),Yeovil,Vanarama National League South,"â¬1,700 p/w",3044,"5'11""",77 kg,-,30/6/2025,,-,,-,0.13,4.34,-,1.63,1.95,2.01,88%,68,0.62,60%,4.43,20.81,7.6,9.73,84%,38.7,5.41,0.27,0.22,0.44,0.95,11%,1.39,0.15,0.13,-2.34,0.06,4.34,14.43
- - -,,2000107842,Harrison Clark,ENG,,21,"D (C), DM",Blyth,Vanarama National League North,â¬275 p/w,1490,"6'0""",77 kg,-,30/6/2025,,-,,-,0.02,0.41,-,1.93,1.93,1.15,86%,19,0.48,60%,5.32,12.87,4.95,9.72,90%,82.63,8.7,-,0.01,0.00,-,43%,0.42,0.18,0.02,0.59,0.06,0.41,5.5
- - -,,5113684,John White,ENG,,37,D (C),Braintree,Vanarama National League South,â¬240 p/w,1693,"6'0""",71 kg,-,30/6/2025,,-,,-,0.01,0.19,-,1.75,1.59,0.85,89%,16,0.64,60%,4.84,10.84,2.76,4.52,87%,45.72,2.92,0.05,0.04,0.11,-,50%,0.21,0.11,0.01,0.81,0.05,0.19,4.41
- - -,Ret,5109673,Martin Woods,SCO,,38,M (C),Boston Utd,Vanarama National League North,â¬400 p/w,2678,"5'9""",77 kg,-,30/6/2024,,-,,-,0.09,2.64,-,0.91,1.04,2.02,88%,60,0.60,60%,3.36,7.09,13.24,10.75,84%,44.23,5.81,0.10,0.28,1.48,0.37,42%,1.68,0.71,0.25,0.6,0.27,7.4,8.81
- - -,Lst,28028945,Lee Hodson,NIR,ENG,32,D (R),Eastleigh,Vanarama National League,â¬825 p/w,2929,"5'11""",70 kg,-,30/6/2025,,-,,-,0.07,2.36,-,1.97,1.87,1.91,78%,62,0.65,60%,3.90,11.92,7.68,14.23,86%,40.19,4.89,0.09,0.06,0.49,0.92,24%,0.89,0.22,0.07,1.64,0.12,2.36,14.87
- - -,,20044986,Callum Ross,ENG,,29,"DM, M (C)",Spennymoor,Vanarama National League North,â¬475 p/w,3815,"6'2""",78 kg,-,30/6/2024,,-,,-,0.09,3.97,-,1.25,0.99,2.08,74%,88,0.28,60%,2.95,8.78,7.86,6.7,87%,39.56,3.68,0.19,0.13,0.12,0.52,35%,1.30,0.45,0.09,0.03,0.09,3.97,8.59
- - -,,29233083,Andres De Gracia,ENG,ESP,21,"DM, M (C)",Eastbourne Borough,Vanarama National League South,â¬325 p/w,2523,"5'11""",76 kg,-,30/6/2025,,-,,-,0.04,0.99,-,1.75,1.57,1.39,74%,39,0.39,60%,2.53,11.77,8.45,8.74,87%,46.8,5.21,0.07,0.17,0.07,0.29,31%,0.57,0.18,0.04,1.01,0.07,0.99,8.88
- - -,,2000105676,Joshua Lett,ENG,,19,D (L),Weston-super-Mare,Vanarama National League South,â¬575 p/w,3546,"5'9""",67 kg,29/6/2024,30/6/2025,,-,,-,0.01,0.32,-,1.83,2.11,2.01,80%,79,0.86,59%,3.22,13.83,7.18,15.13,85%,39.52,5.46,0.08,0.04,0.23,1.17,0%,0.10,0.00,0.01,-0.32,-,0.32,10.74
- - -,,29191776,Dylan Crowe,ENG,JAM,23,D/WB (R),King's Lynn,Vanarama National League North,â¬475 p/w,2176,"5'11""",70 kg,-,30/6/2024,,-,,-,0.02,0.6,-,2.07,2.36,2.4,79%,58,0.37,59%,4.01,14.06,9.39,15.97,79%,34.41,4.26,0.08,0.05,0.50,1.28,0%,0.25,0.00,0.02,-0.6,-,0.6,12.41
- - -,,2000077960,Azeem Abdulai,SCO,,21,"DM, M (C)",Yeovil,Vanarama National League South,"â¬1,900 p/w",4140,"6'1""",82 kg,29/6/2024,30/6/2025,,-,,-,0.16,7.45,-,1.13,1.35,2.26,85%,104,0.43,59%,3.17,16.28,9.15,5.5,89%,48.17,4.41,0.22,0.19,0.07,0.72,28%,1.57,0.43,0.16,-0.45,0.15,7.45,9.04
- - -,,28128056,Joe Oliver,ENG,,21,D/WB (R),Blyth,Vanarama National League North,â¬375 p/w,4139,"6'0""",81 kg,-,30/6/2025,,-,,-,0.05,2.21,-,1.3,2.91,1.8,84%,83,0.63,59%,3.22,13.2,11.15,18.96,85%,49.77,7.68,0.22,0.27,1.44,2.39,42%,0.57,0.24,0.05,-0.21,0.04,2.21,18.81
- - -,,2000146810,Owen Cochrane,ENG,,19,D (R),Bishop's Stortford,Vanarama National League North,â¬400 p/w,3284,"5'10""",70 kg,29/6/2024,30/6/2024,,-,,-,0.01,0.2,-,1.97,1.56,2.38,79%,87,0.74,59%,3.75,11.87,7.56,10.91,84%,37.16,3.48,0.05,0.06,0.25,0.36,20%,0.14,0.03,0.01,-0.2,-,0.2,9.51
- - -,Wnt,2000059228,Leo Hamblin,ENG,,21,D (LC),Weymouth,Vanarama National League South,,2526,"6'0""",70 kg,-,-,,-,,-,0.03,0.82,-,1.6,1.75,2.17,80%,61,0.78,58%,3.60,10.8,8.09,15.14,82%,36.34,4.81,0.07,0.07,0.39,0.53,22%,0.32,0.07,0.03,0.18,0.04,0.82,14.86
- - -,,29217427,Aaron Skinner,ENG,,22,"D (RLC), WB (R), DM, M (C)",Hereford,Vanarama National League North,â¬425 p/w,3869,"5'9""",62 kg,-,30/6/2025,,-,,-,0.02,1.01,-,2.09,2.72,2.58,81%,111,0.77,58%,3.37,14.1,7.79,11.58,82%,35.57,4.33,0.02,0.07,0.58,0.67,38%,0.37,0.14,0.02,-0.01,0.02,1.01,14.96
- - -,,29217526,Blaine Rowe,ENG,SCO,22,D/WB (R),Darlington,Vanarama National League North,â¬725 p/w,3452,"5'9""",63 kg,-,30/6/2024,,-,,-,0.06,2.34,-,1.88,2.92,2.5,84%,96,0.63,58%,3.44,12.07,12.59,15.83,85%,37.26,4.9,0.10,0.16,1.17,2.01,36%,0.65,0.23,0.06,0.66,0.08,2.34,18.02
- - -,,2000191712,Brandon Powell,ENG,JAM,18,D/WB (L),Peterborough Sports,Vanarama National League North,â¬775 p/w,1170,"5'11""",67 kg,30/6/2024,30/6/2025,,-,,-,0.02,0.3,-,1.23,2.15,1.62,84%,21,0.69,58%,3.46,11.0,9.54,15.38,82%,27.69,4.54,0.31,0.17,1.15,2.92,25%,0.62,0.15,0.02,-0.3,-,0.3,15.62
- - -,,94001969,Gareth Dean,ENG,,34,D (C),Brackley,Vanarama National League North,â¬700 p/w,4067,"6'2""",67 kg,-,30/6/2024,,-,,-,0.03,1.35,-,1.81,1.13,1.46,80%,66,0.69,57%,4.76,10.87,3.83,8.08,86%,46.87,4.32,0.07,0.04,0.00,0.07,20%,0.44,0.09,0.03,-1.35,-,1.35,7.92
- - -,,29191368,James Melhado,ENG,,23,D/WB (R),Truro,Vanarama National League South,â¬425 p/w,3578,"6'1""",76 kg,-,30/6/2025,,-,,-,0.1,3.84,-,1.99,2.16,2.19,76%,87,0.60,57%,3.09,10.54,9.51,14.82,84%,36.52,4.75,0.03,0.05,0.78,1.03,21%,1.06,0.23,0.1,-0.84,0.08,3.84,15.62
- - -,,89068522,Jack Tompkins,ENG,,22,D (R),Banbury,Vanarama National League North,â¬170 p/w,3916,"5'8""",72 kg,-,30/6/2025,,-,,-,0.07,2.95,-,1.95,2.55,2.18,84%,95,0.67,57%,3.98,12.32,9.79,12.59,84%,30.82,3.4,0.11,0.11,0.64,2.05,40%,0.80,0.32,0.07,1.05,0.09,2.95,14.82
- - -,Opt,28102600,Joel Taylor,ENG,JAM,28,D (L),Chester,Vanarama National League North,â¬400 p/w,3721,"5'11""",67 kg,-,30/6/2024,,-,,-,0.02,1.01,-,1.31,2.06,2.61,83%,108,0.34,57%,3.17,13.96,7.38,14.8,82%,39.09,5.9,0.24,0.21,1.02,1.96,33%,0.36,0.12,0.02,-1.01,-,1.01,14.05
- - -,,2000108275,Connor Pye,ENG,,19,D (L),Torquay,Vanarama National League South,â¬525 p/w,1916,"5'6""",56 kg,29/6/2024,30/6/2025,,-,,-,0.04,0.89,-,1.5,1.88,2.87,88%,61,0.80,57%,3.19,17.05,7.61,10.38,85%,39.74,6.15,0.19,0.17,1.46,1.36,50%,0.38,0.19,0.04,0.11,0.05,0.89,14.84
- - -,,2000201092,Evan Humphries,ENG,,18,D (L),Weymouth,Vanarama National League South,â¬900 p/w,1669,"5'8""",63 kg,29/6/2024,30/6/2025,,-,,-,0.02,0.34,-,1.4,2.05,2.26,75%,42,0.75,57%,3.45,13.0,8.25,13.64,85%,37.21,5.82,-,0.08,0.22,0.59,0%,0.05,0.00,0.02,-0.34,-,0.34,14.61
- - -,,29194976,Harry Perritt,ENG,,23,D (R),Alfreton,Vanarama National League North,â¬425 p/w,3927,"6'1""",66 kg,-,30/6/2025,,-,,-,0.01,0.39,-,1.95,2.61,2.15,79%,94,0.69,56%,3.92,14.44,7.22,13.13,80%,33.16,4.7,0.14,0.09,0.62,1.12,14%,0.16,0.02,0.01,-0.39,-,0.39,11.64
- - -,,29235372,Ethan Sephton,ENG,,24,D (L),Gloucester,Vanarama National League North,â¬300 p/w,1960,"5'11""",79 kg,-,30/6/2025,,-,,-,0.02,0.42,-,2.2,2.20,2.85,84%,62,1.19,56%,3.26,12.72,9.18,12.03,86%,40.22,5.74,0.09,0.13,0.87,1.10,75%,0.37,0.28,0.02,-0.42,-,0.42,13.09
- - -,Lst,52032604,Jimmy Keohane,IRL,,33,"D/WB (RL), DM",Rochdale,Vanarama National League,â¬925 p/w,1836,"5'11""",71 kg,-,30/6/2024,,-,,-,0.07,1.47,-,1.76,1.42,2.4,84%,49,0.34,56%,2.35,12.55,9.26,10.05,86%,42.25,4.66,0.29,0.16,0.59,0.74,17%,0.59,0.10,0.07,-1.47,-,1.47,11.37
- - -,Wnt,31037585,Joel Colbran,ENG,,25,D (R),Worthing,Vanarama National League South,,2351,"6'1""",82 kg,-,-,,-,,-,0.09,2.35,-,1.76,1.72,1.57,72%,41,0.73,56%,3.60,15.89,7.01,10.64,84%,43.41,5.17,0.08,0.08,0.38,0.38,20%,0.96,0.19,0.09,-0.35,0.08,2.35,13.55
- - -,,29110719,Josh Amis,ENG,,29,ST (C),Warrington,Vanarama National League North,â¬230 p/w,1469,"6'1""",92 kg,-,30/6/2024,,-,,-,0.42,6.81,-,0.49,1.10,1.16,61%,19,0.12,55%,9.01,5.82,6.25,7.6,83%,21.87,0.49,0.06,0.07,0.00,0.55,39%,3.12,1.23,0.42,0.19,0.43,6.81,5.45
- - -,,29226255,Josh Owers,ENG,,22,"DM, M (C)",Yeovil,Vanarama National League South,â¬700 p/w,2377,"6'0""",69 kg,-,30/6/2025,,-,,-,0.05,1.43,-,1.55,1.02,1.78,71%,47,0.42,55%,2.20,12.0,9.35,5.64,90%,47.4,5.0,0.38,0.15,0.08,0.64,33%,0.57,0.19,0.05,-0.43,0.04,1.43,8.56
- - -,Ask,28121648,Lucas Defise,BEL,,22,"DM, M (C)",Eastbourne Borough,Vanarama National League South,â¬575 p/w,3843,"5'10""",60 kg,-,30/6/2024,,-,,-,0.09,3.79,-,1.29,1.10,1.9,74%,81,0.44,55%,2.01,15.13,9.37,7.52,88%,44.68,5.5,0.19,0.14,0.16,0.40,14%,0.66,0.09,0.09,-3.79,-,3.79,10.26
- - -,,29158753,Alex Brown,ENG,,25,D/WB (L),Scarborough Athletic,Vanarama National League North,â¬575 p/w,4372,"5'9""",58 kg,-,30/6/2025,,-,,-,0.01,0.41,-,1.67,3.25,2.94,76%,143,0.76,55%,3.21,15.5,7.12,11.73,85%,40.16,7.12,0.14,0.09,0.49,1.13,33%,0.25,0.08,0.01,-0.41,-,0.41,12.23
- - -,,89061743,Elliot Forbes,ENG,,25,"D (C), DM, M (C)",Blyth,Vanarama National League North,â¬525 p/w,4337,"6'4""",80 kg,-,30/6/2025,,-,,-,0.05,2.19,-,1.37,1.56,1.51,82%,73,0.39,55%,2.99,9.19,6.54,6.85,90%,59.29,5.77,0.04,0.03,0.02,0.42,50%,0.54,0.27,0.05,-2.19,-,2.19,6.33
