Rec,Inf,UID,Name,Personality,Age,Position,Preferred Foot,Height,Min WD,Club,Division,Wage,Expires,Transfer Value,Mins,Cln/90,Con/90,xA/90,xA,Mins/Gl,xG-OP,xG/90,Gls,Conc,Gls/90,NP-xG,NP-xG/90,Pens Saved,Pens Saved Ratio,Red,Saves/90,Aer A/90,Asts/90,Blk/90,Clr/90,Conv %,Crs A/90,Cr C/A,Cr C/90,Distance,Dist/90,Drb/90,xGP/90,xG/shot,xGP,xSv %,Hdrs L/90,Hdrs W/90,Sprints/90,Hdr %,Itc,Int/90,Hdrs,K Hdrs/90,K Pas,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Shots,ShT,Shots Outside Box/90,Shts Blckd,Shts Blckd/90,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck W,Tck/90,Off,Drb,Cr A,Clear,Blk,Hdrs A,Goals Outside Box,Best Pos,Clean Sheets,Sv %,Svh,Svp,Svt
- -  -,Ctr,2000258473,Daniel Shaw,,19,"M/AM (C), ST (C)",Right,"6'1""",-,Pontypridd,JD Cymru Premier,N/A,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (C),-,-,-,-,-
- -  -,Wnt,2000284012,Joel Shambrook,,20,D/WB (R),Right,"6'0""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (R),-,-,-,-,-
- -  -,Loa,2000327904,Zach Scott,Balanced,18,"M (LC), AM (L)",Left Only,"5'9""",N/A,Banbury,Vanarama National League North,€40 p/w,30/6/2026,€0,16,-,-,-,0.00,-,0.00,-,0,-,-,0.00,-,-,-,0,-,-,-,-,-,-,-,-,-,2.6km,-,-,-,0.00,-,-,-,-,-,0%,0,-,0,-,0,75%,8,-,6,-,-,-,2,-,0,-,0,-,0,-,-,0,-,-,-,-,-,0,-,-,0,0,0,0,0,1,0,M (C),-,-,-,-,-
- -  -,,2000012369,John Scott,,24,D (LC),Left,"5'11""",-,Ards,Playr-Fit Championship,€240 p/w,30/6/2026,Unknown,"2,964",-,-,0.01,0.38,"1,482.00",-0.31,0.07,2,-,0.06,2.31,0.07,-,-,3,-,2.40,0.03,0.24,0.76,13%,0.21,-,0.00,129.4km,3.9km,0.15,-,0.14,-,-,1.00,1.40,1.67,58%,20,0.61,46,0.33,7,78%,"1,022",31.03,800,24.29,1.70,6.41,47,1.43,19,0.58,41,1.24,16,4,0.03,8,0.24,0.12,25%,0.49,98%,55,54,1.64,0,5,7,25,8,79,0,D (C),-,-,-,-,-
- -  -,,2000159621,Owen Scattergood,,21,ST (C),Right,"6'2""",-,Bury Town,English Isthmian League North Division,€425 p/w,30/6/2027,Unknown,450,-,-,0.11,0.54,150.00,1.44,0.31,3,-,0.60,1.56,0.31,-,-,0,-,-,-,-,0.00,18%,0.00,-,0.00,0.0km,0.0km,-,-,0.09,-,-,-,-,0.00,-,0,-,-,0.00,0,60%,100,20.00,60,12.00,0.00,0.00,0,0.00,0,0.00,0,0.00,17,8,0.00,0,0.00,1.60,47%,3.40,40%,10,4,0.80,0,0,0,0,0,0,0,ST (C),-,-,-,-,-
- -  -,Inj,2000117449,Harry Scarborough,Balanced,23,"AM (R), ST (C)",Right Only,"6'3""",€725 p/w,Bury Town,English Isthmian League North Division,€325 p/w,30/6/2026,€4.5K - €14K,"2,790",-,-,0.02,0.74,232.50,0.27,0.38,12,-,0.39,11.73,0.38,-,-,0,-,1.23,0.23,-,0.06,11%,0.13,-,0.00,24.1km,0.8km,0.06,-,0.10,-,-,0.45,0.77,0.39,63%,1,0.03,24,0.06,0,59%,632,20.39,375,12.10,0.58,0.45,8,0.26,1,0.03,0,0.00,112,67,0.00,0,0.00,2.16,60%,3.61,63%,46,29,0.94,3,2,4,2,0,38,0,ST (C),-,-,-,-,-
- -  -,,2000138339,Henry Sandat,,20,ST (C),Right,"6'1""",-,Braintree,Vanarama National League,€400 p/w,30/6/2028,€9K - €90K,232,-,-,0.09,0.22,116.00,0.76,0.48,2,-,0.78,0.45,0.17,-,-,0,-,9.31,-,-,0.78,29%,6.59,-,1.16,30.7km,11.9km,0.78,-,0.18,-,-,4.27,5.04,7.76,54%,1,0.39,13,0.00,4,85%,67,25.99,57,22.11,19.40,2.33,25,9.70,3,1.16,2,0.78,7,3,1.16,0,0.00,1.16,43%,2.72,100%,2,2,0.78,0,2,17,2,0,24,0,ST (C),-,-,-,-,-
- -  -,,2000294077,Fabian Salmon,,19,ST (C),Left,"6'0""",-,Chester,Vanarama National League North,€300 p/w,30/6/2026,€4.5K - €16K,252,-,-,0.07,0.20,252.00,-0.42,0.51,1,-,0.36,1.42,0.51,-,-,0,-,15.36,-,0.36,0.00,13%,1.07,-,0.00,34.2km,12.2km,0.71,-,0.18,-,-,12.86,2.50,3.57,16%,3,1.07,7,0.00,2,89%,37,13.21,33,11.79,2.86,2.86,6,2.14,0,0.00,1,0.36,8,4,0.36,1,0.36,1.43,50%,2.86,100%,2,2,0.71,2,2,3,0,1,43,0,ST (C),-,-,-,-,-
- -  -,,29151021,Cameron Salkeld,Balanced,27,"WB (R), M/AM (RL), ST (C)",Right Only,"6'0""",€875 p/w,Lancaster,English Northern Premier League Premier Division,€575 p/w,30/6/2026,€20K - €60K,"1,490",-,-,0.11,1.87,372.50,0.46,0.21,4,-,0.24,3.54,0.21,-,-,0,-,5.44,-,0.30,0.97,14%,3.44,16%,0.54,175.8km,10.6km,1.15,-,0.13,-,-,3.81,1.63,10.51,30%,23,1.39,27,0.06,23,82%,564,34.07,465,28.09,14.38,4.77,145,8.76,37,2.23,42,2.54,28,10,0.18,1,0.06,0.60,36%,1.69,71%,42,30,1.81,1,19,57,16,5,90,0,ST (C),-,-,-,-,-
- -  -,,28127125,Will Russ,,23,ST (C),Right,"6'2""",-,Southport,Vanarama National League North,€300 p/w,31/5/2026,€28K - €100K,"2,544",-,-,0.02,0.63,181.71,-5.10,0.68,14,-,0.50,13.53,0.48,-,-,0,-,17.05,0.04,0.14,0.78,14%,0.32,11%,0.04,322.5km,11.4km,0.88,-,0.19,-,-,7.92,9.13,4.71,54%,27,0.96,258,0.14,11,84%,690,24.41,579,20.48,7.57,4.32,133,4.71,30,1.06,10,0.35,103,40,0.74,3,0.11,1.42,39%,3.64,76%,33,25,0.88,17,25,9,22,4,482,0,ST (C),-,-,-,-,-
- -  -,FrA,29159636,Joe Rowley,,26,AM (RLC),Right,"5'11""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (C),-,-,-,-,-
- -  -,,2000181673,Carlos Rodrigues,Fairly Determined,20,D/WB (L),Left,"6'2""",-,Florgrade,Portugal Championship - Group B,€350 p/w,30/6/2027,€0,180,-,-,0.18,0.37,-,0.00,0.00,0,-,-,0.00,0.00,-,-,0,-,3.50,-,1.00,2.00,-,1.50,-,0.00,26.8km,13.4km,0.50,-,0.00,-,-,2.00,1.50,14.00,43%,4,2.00,3,0.00,2,89%,94,47.00,84,42.00,13.00,5.00,12,6.00,2,1.00,12,6.00,0,-,0.00,0,0.00,-,-,-,100%,2,2,1.00,0,1,3,4,2,7,0,WB (L),-,-,-,-,-
- -  -,,2000281057,Amarn Robinson,,19,ST (C),Right,"6'0""",-,Hungerford,Vanarama National League South,€325 p/w,30/6/2026,Unknown,"2,147",-,-,0.04,1.03,357.83,1.98,0.17,6,-,0.25,4.02,0.17,-,-,0,-,10.23,-,0.17,0.80,16%,0.96,14%,0.17,271.8km,11.4km,0.96,-,0.11,-,-,8.72,1.51,5.07,15%,22,0.92,36,0.08,11,87%,529,22.18,460,19.28,19.58,2.31,130,5.45,27,1.13,10,0.42,37,19,0.54,1,0.04,0.80,51%,1.55,83%,24,20,0.84,18,23,23,19,4,244,3,ST (C),-,-,-,-,-
- -  -,FrA,29193018,Morgan Roberts,,25,WB/M/AM (L),Left,"5'10""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (L),-,-,-,-,-
- -  -,,29156850,Kory Roberts,Fairly Determined,28,D (RC),Right,"6'0""",€600 p/w,Newtown,JD Cymru Premier,€150 p/w,30/6/2027,€0 - €9K,"1,660",-,-,0.06,1.13,"1,660.00",-0.74,0.09,1,-,0.05,1.74,0.09,-,-,0,-,6.40,0.16,0.60,1.52,4%,2.93,3%,0.11,221.8km,12.0km,0.43,-,0.07,-,-,2.11,4.28,11.01,67%,24,1.30,79,0.54,21,83%,894,48.47,742,40.23,10.19,14.20,123,6.67,35,1.90,81,4.39,24,6,0.60,16,0.87,0.33,25%,1.30,78%,41,32,1.73,1,8,54,28,11,118,0,D (C),-,-,-,-,-
- -  -,Ctr,2000035283,Lewis Ridd,Fairly Determined,21,GK,Right,"6'3""",€525 p/w,Southport,Vanarama National League North,N/A,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GK,-,-,-,-,-
- -  -,Loa,2002143012,Jerry Rey,Balanced,18,"AM (LC), ST (C)",Left,"5'10""",€325 p/w,Southport,Vanarama National League North,€6 p/w,30/6/2026,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ST (C),-,-,-,-,-
- -  -,FrA,29139608,Chris Renshaw,Balanced,28,GK,Left Only,"6'2""",€275 p/w,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GK,-,-,-,-,-
- -  -,FrA,29192125,Shiloh Remy,,25,"M (R), AM (C)",Left Only,"5'7""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (R),-,-,-,-,-
- -  -,Wnt,2000025568,Logan Pye,,22,D/WB (L),Left,"5'10""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (L),-,-,-,-,-
- -  -,,2000189870,Rory Powell,,20,D (RC),Right,"6'1""",-,Eastleigh,Vanarama National League,€475 p/w,30/6/2028,Unknown,721,-,-,0.03,0.28,-,-0.47,0.06,0,-,-,0.47,0.06,-,-,0,-,7.12,-,0.12,1.37,-,0.12,100%,0.12,89.6km,11.2km,-,-,0.12,-,-,2.50,4.62,4.37,65%,14,1.75,37,0.87,2,86%,410,51.18,352,43.94,4.99,10.11,21,2.62,10,1.25,36,4.49,4,0,0.25,7,0.87,0.00,0%,0.50,83%,12,10,1.25,0,0,1,11,1,57,0,D (C),-,-,-,-,-
- -  -,Ctr,29128330,Marcus Poscha,Fairly Determined,29,D (RC),Right Only,"5'11""",-,Leek,English Northern Premier League Division One West,N/A,-,€0,6,-,-,-,0.00,-,0.00,-,0,-,-,0.00,-,-,-,0,-,-,-,-,-,-,-,-,-,0.0km,-,-,-,0.00,-,-,-,-,-,-,0,-,-,-,0,75%,20,-,15,-,-,-,0,-,0,-,0,-,0,-,-,0,-,-,-,-,100%,2,2,-,0,0,0,0,0,0,0,D (C),-,-,-,-,-
- -  -,Ctr,28099015,Ben Pollock,Balanced,28,"D (C), DM, M (C)",Right,"6'1""",€600 p/w,Leek,English Northern Premier League Division One West,N/A,-,€0,90,-,-,0.00,0.00,-,0.00,0.00,0,-,-,0.00,0.00,-,-,0,-,-,-,-,0.00,-,0.00,-,0.00,0.0km,0.0km,-,-,0.00,-,-,-,-,0.00,-,0,-,-,0.00,0,75%,20,20.00,15,15.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,-,0.00,0,0.00,-,-,-,75%,4,3,3.00,0,0,0,0,0,0,0,D (C),-,-,-,-,-
- -  -,Inj,2000276738,Lucas Pitt,,19,D (RC),Right Only,"6'1""",-,TNS,JD Cymru Premier,"€1,300 p/w",30/6/2028,Unknown,"2,035",-,-,0.06,1.44,508.75,1.14,0.13,4,-,0.18,2.86,0.13,-,-,0,-,9.55,0.09,0.40,2.17,15%,0.13,-,0.00,250.6km,11.1km,0.35,-,0.11,-,-,2.92,6.63,3.67,69%,30,1.33,150,1.42,6,84%,"1,233",54.53,"1,039",45.95,4.07,16.10,59,2.61,19,0.84,79,3.49,27,7,0.31,8,0.35,0.31,26%,1.19,78%,23,18,0.80,0,8,3,49,9,216,0,D (C),-,-,-,-,-
- -  -,Ctr,28122160,Harry Pinchard,,24,"DM, M (C), AM (LC)",Left,"5'9""",-,Tonbridge,Vanarama National League South,N/A,-,Unknown,910,-,-,0.21,2.13,-,-0.69,0.07,0,-,-,0.69,0.07,-,-,0,-,3.46,0.10,0.20,0.89,-,4.05,14%,0.49,122.6km,12.1km,0.99,-,0.08,-,-,1.38,2.08,8.51,60%,15,1.48,21,0.20,22,84%,477,47.18,403,39.86,8.90,10.88,100,9.89,25,2.47,38,3.76,9,2,0.40,0,0.00,0.20,22%,0.89,92%,24,22,2.18,1,10,41,9,2,35,0,AM (L),-,-,-,-,-
- -  -,,2000280773,Oliver Piekarski,Balanced,18,D (L),Left,"5'10""",-,Hitchin,Vanarama National League North,€210 p/w,30/6/2026,€150K - €450K,"2,970",-,-,0.10,3.46,"2,970.00",0.49,0.02,1,-,0.03,0.51,0.02,-,-,0,-,4.79,0.03,0.55,2.36,13%,4.03,22%,0.88,400.7km,12.1km,0.33,-,0.06,-,-,2.42,2.36,8.64,49%,77,2.33,78,0.30,44,85%,"1,707",51.73,"1,444",43.76,10.52,13.55,170,5.15,54,1.64,241,7.30,8,2,0.24,7,0.21,0.06,25%,0.24,74%,114,84,2.55,2,11,133,78,18,158,1,D (L),-,-,-,-,-
- -  -,Ctr,2000225965,Corvell Pickering,,19,M (L),Left,"5'11""",-,Gainsborough,English Northern Premier League Premier Division,€230 p/w,-,Unknown,"2,338",-,-,0.21,5.58,-,-2.16,0.08,0,-,-,2.16,0.08,-,-,0,-,5.62,0.04,0.38,0.85,-,6.31,20%,1.23,319.9km,12.3km,2.00,-,0.11,-,-,4.00,1.62,8.89,29%,46,1.77,42,0.08,36,83%,835,32.14,689,26.52,14.82,5.47,222,8.55,70,2.69,87,3.35,20,6,0.27,0,0.00,0.23,30%,0.77,84%,55,46,1.77,7,52,164,22,10,146,0,M (L),-,-,-,-,-
- -  -,FrA,29194976,Harry Perritt,,24,"D (RC), WB (R)",Right Only,"6'1""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (R),-,-,-,-,-
- -  -,FrA,2000026459,Jack Perkins,,22,M (LC),Right,"5'10""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
- -  -,FrA,29243569,Harry Parsons,,23,ST (C),Right,"6'2""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ST (C),-,-,-,-,-
- -  -,,2000216431,Jack Parry,Balanced,20,ST (C),Right,"5'11""",-,Farsley,Vanarama National League North,€220 p/w,30/6/2026,€500 - €7K,"2,861",-,-,0.16,4.97,136.24,10.07,0.34,21,-,0.66,10.93,0.34,-,-,0,-,11.89,0.13,0.06,0.82,36%,0.82,29%,0.22,381.4km,12.0km,0.91,-,0.19,-,-,8.56,3.33,6.98,28%,30,0.94,106,0.00,34,85%,980,30.83,836,26.30,7.24,3.81,197,6.20,52,1.64,44,1.38,58,32,0.47,0,0.00,1.01,55%,1.82,79%,24,19,0.60,18,29,26,26,2,378,1,ST (C),-,-,-,-,-
- -  -,Ama,28123028,Jamie Pardington,,25,GK,Right,"6'5""",-,Cardiff Met Uni,JD Cymru Premier,N/A,-,Unknown,"1,864",0.14,1.50,0.00,0.00,-,0.00,0.00,0,31,-,0.00,0.00,1,25%,0,2,-,-,-,8.64,-,-,-,-,104.8km,5.1km,-,-0.20,0.00,-4.08,89%,-,-,0.00,-,0,-,-,0.00,0,48%,438,21.15,210,10.14,8.59,2.95,0,0.00,0,0.00,0,0.00,0,-,-,-,-,-,-,-,25%,4,1,0.05,0,0,-,-,-,-,-,GK,3,65%,19,28,9
- -  -,FrA,28122194,Jonathon Page,Balanced,24,"D (C), DM, M (C)",Right Only,"5'9""",€325 p/w,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DM,-,-,-,-,-
- -  -,FrA,29136642,Christian Oxlade-Chamberlain,,27,"D (RC), WB (R), DM, M (R)",Right Only,"6'1""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (R),-,-,-,-,-
- -  -,Ctr,93142803,Tyrese Owen,Fairly Determined,26,"D (C), DM",Left Only,"6'5""",€275 p/w,AFC Telford,Vanarama National League North,N/A,-,€0,378,-,-,0.07,0.28,-,-0.23,0.05,0,-,-,0.23,0.05,-,-,0,-,7.38,-,0.71,2.38,-,0.24,-,0.00,45.6km,10.9km,-,-,0.12,-,-,2.62,4.76,3.81,65%,2,0.48,20,0.95,0,76%,155,36.90,118,28.10,7.62,10.48,14,3.33,4,0.95,19,4.52,2,1,0.00,2,0.48,0.24,50%,0.48,67%,3,2,0.48,0,0,1,10,3,31,0,D (C),-,-,-,-,-
- -  -,Ama,2000147443,Gabriel Overton,,21,ST (C),Right Only,"5'10""",-,Cardiff Met Uni,JD Cymru Premier,N/A,-,Unknown,180,-,-,0.00,0.00,90.00,1.23,0.39,2,-,1.00,0.77,0.39,-,-,0,-,10.00,-,-,1.50,40%,1.00,-,0.00,26.1km,13.1km,0.50,-,0.15,-,-,5.00,5.00,8.00,50%,1,0.50,10,0.00,1,88%,42,21.00,37,18.50,22.50,1.50,15,7.50,4,2.00,1,0.50,5,3,0.50,0,0.00,1.50,60%,2.50,100%,4,4,2.00,1,1,2,3,0,20,0,ST (C),-,-,-,-,-
- -  -,Wnt,29221285,Paul Osew,,25,"D (L), WB (RL), M (L)",Left,"5'5""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (L),-,-,-,-,-
- -  -,Ctr,2000198734,Abube Onuchukwu,,20,"DM, M (C)",Right,"5'7""",-,AFC Telford,Vanarama National League North,N/A,-,Unknown,335,-,-,0.12,0.46,-,-0.36,0.10,0,-,-,0.36,0.10,-,-,0,-,2.96,0.27,0.54,1.88,-,1.07,25%,0.27,53.4km,14.3km,0.54,-,0.12,-,-,2.42,0.54,13.16,18%,8,2.15,2,0.00,2,88%,138,37.07,121,32.51,6.18,9.13,40,10.75,12,3.22,14,3.76,3,2,0.54,2,0.54,0.54,67%,0.81,89%,9,8,2.15,0,2,4,7,2,11,0,M (C),-,-,-,-,-
- -  -,FrA,29125545,Emmanuel Onariase,,29,D (C),Right,"6'4""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (C),-,-,-,-,-
- -  -,FrA,28128056,Joe Oliver,Fairly Professional,23,"D (RC), WB (R)",Right Only,"6'0""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (R),-,-,-,-,-
- -  -,Ctr,2000272481,Seth Okyere,Balanced,19,"D (RC), WB (R)",Right,"6'0""",-,Pontypridd,JD Cymru Premier,N/A,-,€0,"2,033",-,-,0.04,0.98,"2,033.00",0.61,0.02,1,-,0.04,0.39,0.02,-,-,1,-,5.09,0.04,0.66,1.55,14%,7.97,12%,0.97,288.1km,12.8km,1.11,-,0.06,-,-,1.90,3.19,12.48,63%,58,2.57,72,0.31,35,86%,759,33.60,650,28.78,15.76,12.40,215,9.52,63,2.79,77,3.41,7,3,0.13,15,0.66,0.13,43%,0.31,82%,67,55,2.43,4,25,180,35,15,115,0,D (C),-,-,-,-,-
- -  -,FrA,31042062,Abraham Odoh,,25,"M (L), AM (RLC)",Right Only,"5'7""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (L),-,-,-,-,-
- -  -,Loa,2000263190,Luke O'Regan,Fairly Ambitious,20,"DM, M (C)",Right Only,"5'8""",-,U.C.D.,Irish Leinster Senior League First Division,€160 p/w,30/11/2027,€26K - €275K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
- -  -,Loa,2002142710,Gavin O'Donoghue,Unambitious,18,"D (LC), DM",Left,"6'2""",€350 p/w,Darlington,Vanarama National League North,€6 p/w,30/6/2026,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (C),-,-,-,-,-
- -  -,Lst,29199267,Jake O'Connor,Balanced,27,"DM, M (C)",Right,"6'0""",€240 p/w,Boston Utd,Vanarama National League North,€475 p/w,30/6/2026,€0,805,-,-,0.06,0.57,-,-0.32,0.04,0,-,-,0.32,0.04,-,-,0,-,3.69,0.11,1.12,2.46,-,0.78,14%,0.11,118.1km,13.2km,0.22,-,0.06,-,-,1.79,1.90,8.61,52%,13,1.45,17,0.11,8,89%,530,59.25,473,52.88,7.83,7.04,98,10.96,23,2.57,48,5.37,5,1,0.22,2,0.22,0.11,20%,0.56,60%,42,25,2.80,0,2,7,22,10,33,0,DM,-,-,-,-,-
- -  -,Loa,2000218199,CJ Nyakuhwa,Balanced,19,"M (R), AM (RL)",Right Only,"5'5""",€625 p/w,South Shields,Vanarama National League,€300 p/w,30/6/2026,€500 - €5K,739,-,-,0.06,0.46,-,-0.54,0.07,0,-,-,0.54,0.07,-,-,0,-,5.72,-,0.49,1.22,-,3.78,6%,0.24,98.1km,11.9km,3.53,-,0.08,-,-,4.87,0.85,10.11,15%,15,1.83,7,0.00,14,83%,258,31.42,215,26.18,19.61,1.95,97,11.81,21,2.56,23,2.80,7,2,0.12,0,0.00,0.24,29%,0.85,100%,19,19,2.31,0,29,31,10,4,47,0,AM (R),-,-,-,-,-
- -  -,,2000120284,Kai Nugent,,20,"M (LC), AM (L)",Left,"5'9""",-,Bury,English Northern Premier League Premier Division,€675 p/w,30/6/2026,Unknown,"2,526",-,-,0.20,5.54,631.50,-0.12,0.15,4,-,0.14,4.12,0.15,-,-,0,-,6.09,0.18,0.25,1.18,10%,3.21,18%,0.57,306.4km,10.9km,1.71,-,0.10,-,-,5.02,1.07,8.34,18%,35,1.25,30,0.04,33,84%,940,33.49,792,28.22,10.76,7.23,307,10.94,71,2.53,68,2.42,40,10,0.39,0,0.00,0.36,25%,1.43,91%,58,53,1.89,7,48,90,33,7,171,0,M (L),-,-,-,-,-
- -  -,Ctr,2000125922,Manni Norkett,,21,ST (C),Right,"6'0""",-,Cray,English Isthmian League Premier Division,N/A,-,Unknown,"2,880",-,-,0.07,2.11,192.00,6.05,0.28,15,-,0.47,8.16,0.26,-,-,1,-,0.91,0.12,-,0.09,18%,0.03,-,0.00,24.7km,0.8km,-,-,0.11,-,-,0.69,0.22,0.66,24%,3,0.09,7,0.00,0,64%,649,20.28,413,12.91,0.31,0.34,14,0.44,4,0.12,1,0.03,83,43,0.03,0,0.00,1.34,52%,2.59,61%,46,28,0.88,0,0,1,3,0,29,0,ST (C),-,-,-,-,-
