UID,Rec,Inf,Name,Position,Club,Nat,Height,Weight,WR,Age,Transfer Value,Based,Division,Expires,Wage,Left Foot,Personality,Preferred Foot,Birth City,Best Pos,Max WD,Min WD,Hdrs A,Tck/90,Tck W,Tck A,Tck R,Shot/90,Shot %,ShT/90,ShT,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Shots,Svt,Svp,Svh,Sv %,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,Ps C/90,Ps C,Ps A/90,Pas A,Pas %,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Off,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Int/90,Itc,Sprints/90,Hdr %,Hdrs W/90,Hdrs,Hdrs L/90,Goals Outside Box,FK Shots,xSv %,xGP/90,xGP,xG/shot,Drb/90,Drb,Dist/90,Distance,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Conv %,Clr/90,Clear,CCC,Ch C/90,Blk/90,Blk,Asts/90,Aer A/90,AT Apps,Yel,xG,Saves/90,Tgls/90,Tcon/90,Tcon,Tgls,Starts,Red,Pts/Gm,PoM,Pen/R,Pens S,Pens Saved Ratio,Pens Saved,Pens Faced,Pens,NP-xG/90,NP-xG,Last Gl,Last C,Mins/Gm,Mins,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps,Gls/90,Conc,Gls,Won,G. Mis,Lost,D,Gwin,Fls,FA,xG/90,xG-OP,xA/90,xA,Con/90,Cln/90,Clean Sheets,Av Rat,Mins/Gl,Ast,Apps,AT Lge Gls,AT Lge Apps,AT Gls,Max AP,Min AP,Style,NoB
71112171,- -  -,Lst,Vasyl Tropanets,AM (L),Longford,UKR,"5'10""",68 kg,,23,€18K,Ireland (First Division),Irish First Division,30/11/2024,€150 p/w,-,,Unknown,Zoria (Odesa region),-,N/A,N/A,8,4.41,5,5,100%,1.76,50%,0.88,1,0.88,0.00,0,2,-,-,-,-,5.29,6,4.41,5,7.06,8,3.53,14.12,19.41,22,30.88,35,63%,2.65,3,0.00,0,5.29,6,0%,0,0,0.00,0,2.65,3,0.88,0.88,1,7.94,50%,3.53,4,3.53,0,0,-,-,-,0.11,0.88,1,11.0km,12.5km,0.00,0,5.29,6,-,50%,1.76,2,0,-,-,0,-,7.06,71,0,0.22,-,1.76,0.00,-,2,1,0,1.45,0,-,0,-,-,-,0,0.19,0.22,92.00,-,34.00,102,,,-,-,-,-,0.88,-,1,1,-,1,1,33%,0,0,0.19,0.78,0.00,0.00,-,-,-,6.90,102.00,0,1 (2),6,68,8,-,-,,UKR
56001708,- -  -,Ama,Vinny Faherty,ST (C),Salthill,IRL,"6'0""",82 kg,,36,Unknown,Ireland (Galway Premier Division),Irish Galway Junior Premier Division,-,N/A,-,,Unknown,Galway,-,N/A,N/A,0,0.50,2,2,100%,3.75,40%,1.50,6,0.00,0.00,0,15,-,-,-,-,0.00,0,0.00,0,0.00,0,0.00,0.00,11.50,46,20.00,80,58%,0.00,0,0.00,0,0.00,0,-,0,0,0.00,0,-,0,0.00,-,0,0.00,-,-,-,-,0,0,-,-,-,0.04,-,0,0.0km,0.0km,0.00,0,0.00,0,-,-,0.00,0,0,-,-,0,0.25,-,344,0,0.55,-,0.00,0.00,-,0,4,0,1.30,0,-,0,-,-,-,0,0.14,0.55,-,-,90.00,360,,,-,-,-,-,-,-,0,0,-,0,4,0%,2,9,0.14,-0.55,0.05,0.19,-,-,-,6.28,-,1,4,94,344,94,-,-,,IRL
29127859,- -  -,,Frank Mulhern,ST (C),Scarborough Athletic,IRL,"5'11""",78 kg,,27,Unknown,England (Vanarama North),Vanarama National League North,30/6/2024,€400 p/w,-,,Unknown,South Elmsall,ST (C),N/A,N/A,261,0.83,14,24,58%,2.07,46%,0.95,16,0.95,0.00,0,35,-,-,-,-,0.83,14,1.48,25,5.32,90,4.49,10.35,20.87,353,24.24,410,86%,0.89,15,0.30,5,1.54,26,21%,12,0,0.06,1,0.95,16,0.12,0.83,14,8.22,26%,3.96,67,11.47,1,0,-,-,-,0.17,0.59,10,12.6km,213.1km,0.35,6,1.66,28,19%,23%,0.47,8,7,0.41,0.12,2,0.18,15.43,214,0,5.96,-,1.95,1.30,-,33,12,0,2.00,2,-,0,-,-,-,0,0.35,5.96,53.00,-,44.76,"1,522",,,-,-,-,-,0.47,-,8,19,-,4,11,56%,15,21,0.35,2.04,0.15,2.48,-,-,-,6.86,190.25,3,12 (22),45,206,46,-,-,,ENG
90056627,- -  -,Lst,Kaine Felix,M/AM (R),Peterborough Sports,ENG,"5'10""",71 kg,,28,€1.5K,England (Vanarama North),Vanarama National League North,30/6/2024,€350 p/w,-,,Unknown,Huntingdon,"M/AM (RL), ST (RL)",N/A,N/A,37,4.14,11,11,100%,3.01,50%,1.51,4,1.13,0.00,0,8,-,-,-,-,1.13,3,3.39,9,10.54,28,9.79,14.69,24.10,64,29.00,77,83%,0.38,1,0.38,1,6.03,16,6%,4,0,0.00,0,0.38,1,0.00,1.88,5,9.41,19%,2.64,7,11.30,0,0,-,-,-,0.12,3.01,8,15.7km,41.8km,0.38,1,6.03,16,6%,-,0.38,1,0,-,-,0,-,13.93,281,0,0.93,-,1.51,1.51,-,4,2,0,1.18,0,-,0,-,-,-,0,0.35,0.93,-,-,10.86,239,,,-,-,-,-,-,-,0,7,-,10,5,32%,4,4,0.35,-0.93,0.02,0.06,-,-,-,6.66,-,0,2 (20),35,279,35,-,-,,ENG
29244128,- -  -,Ama,Alex Phelan,ST (C),Villa F.C.,IRL,"5'8""",69 kg,,22,Unknown,Ireland (Waterford Premier Div),Irish Waterford & District Premier Division,-,N/A,-,,Unknown,-,-,N/A,N/A,46,1.00,4,5,80%,2.00,75%,1.50,6,0.75,0.00,0,8,-,-,-,-,1.00,4,2.25,9,6.25,25,5.00,15.50,18.50,74,22.75,91,81%,0.75,3,0.00,0,0.25,1,0%,3,0,0.00,0,0.75,3,0.00,1.50,6,4.75,15%,1.75,7,9.75,0,0,-,-,-,0.12,2.50,10,11.3km,45.1km,0.00,0,0.25,1,-,13%,0.50,2,0,-,0.50,2,-,11.50,23,0,1.00,-,0.75,1.75,-,3,4,0,1.20,0,100%,1,-,-,-,1,0.25,1.00,0.00,-,90.00,360,,,-,-,-,-,0.25,-,1,1,-,3,0,25%,4,15,0.25,0.00,0.00,0.00,-,-,-,6.70,360.00,0,4,7,23,7,-,-,,IRL
29004305,- -  -,Inj,Kevin Roberts,DM,Chester,ENG,"5'8""",89 kg,,34,Unknown,England (Vanarama North),Vanarama National League North,30/6/2024,€475 p/w,-,,Unknown,Liverpool,"DM, M (C)",N/A,N/A,37,1.22,6,7,86%,0.20,0%,0.00,0,0.20,0.20,1,1,-,-,-,-,6.91,34,1.83,9,10.56,52,12.80,15.03,38.60,190,52.62,259,73%,1.83,9,1.42,7,5.89,29,24%,0,0,0.00,0,1.83,9,0.20,1.83,9,11.99,49%,3.66,18,3.86,0,0,-,-,-,0.00,0.41,2,12.7km,62.4km,1.42,7,5.89,29,24%,-,1.63,8,0,-,0.61,3,-,7.52,513,0,0.00,-,1.63,0.41,-,8,2,0,2.25,0,-,0,-,-,-,0,0.00,0.00,-,-,36.92,443,,,-,-,-,-,-,-,0,8,-,1,3,67%,8,6,0.00,0.00,0.07,0.36,-,-,-,6.76,-,0,2 (10),17,507,17,-,-,,ENG
52058969,- -  -,Inj,Sean Guerins,D (C),St. Michael's,IRL,"6'3""",79 kg,,29,Unknown,Ireland (Tipperary South Premier),Irish Tipperary Southern & District Premier,-,N/A,-,,Unknown,Limerick,-,N/A,N/A,0,2.00,4,4,100%,1.50,67%,1.00,2,0.00,0.00,0,3,-,-,-,-,0.00,0,0.00,0,0.00,0,0.00,0.00,16.50,33,20.00,40,83%,0.00,0,0.00,0,0.00,0,-,0,0,0.00,0,-,0,0.00,-,0,0.00,-,-,-,-,0,0,-,-,-,0.12,-,0,0.0km,0.0km,0.00,0,0.00,0,-,67%,0.00,0,0,-,-,0,0.50,-,87,0,0.35,-,0.00,0.00,-,0,2,0,1.40,0,-,0,-,-,-,0,0.17,0.35,0.00,-,90.00,180,,,-,-,-,-,1.00,-,2,0,-,0,2,0%,0,0,0.17,1.65,0.00,0.00,-,-,-,8.00,90.00,1,2,6,87,6,-,-,,IRL
52071093,- -  -,Ama,Jamie Hollywood,M/AM (C),Lucan Utd,IRL,"6'0""",67 kg,,26,Unknown,Ireland (Leinster First Division),Irish Leinster Senior League First Division,-,N/A,-,,Unknown,Dublin,-,N/A,N/A,18,0.74,3,3,100%,0.74,33%,0.25,1,0.00,0.00,0,3,-,-,-,-,3.68,15,0.98,4,7.36,30,15.94,14.22,34.82,142,42.67,174,82%,1.72,7,0.00,0,0.98,4,0%,0,0,0.00,0,1.72,7,0.25,1.72,7,7.36,72%,3.19,13,1.23,0,0,-,-,-,0.11,0.74,3,11.8km,48.0km,0.00,0,0.98,4,-,33%,0.74,3,1,0.25,0.25,1,0.25,4.41,82,1,0.34,-,1.72,0.98,-,7,4,0,1.65,0,-,0,-,-,-,0,0.08,0.34,0.00,-,73.40,367,,,-,-,-,-,0.25,-,1,3,-,2,0,60%,7,1,0.08,0.66,0.09,0.37,-,-,-,7.10,367.00,1,4 (1),6,77,7,-,-,,IRL
29072357,- -  -,,Tom Platt,"DM, M (C)",Darlington,ENG,"6'1""",82 kg,,30,Unknown,England (Vanarama North),Vanarama National League North,30/6/2024,€400 p/w,-,,Unknown,Pontefract,"DM, M (C)",N/A,N/A,271,2.05,85,116,73%,1.18,29%,0.34,14,0.75,0.31,13,49,-,-,-,-,5.26,218,2.63,109,10.25,425,9.98,8.37,44.90,"1,862",52.62,"2,182",85%,0.94,39,0.05,2,0.34,14,14%,2,0,0.07,3,0.94,39,1.13,0.99,41,10.56,69%,4.49,186,2.05,0,0,-,-,-,0.08,0.41,17,13.1km,541.9km,0.05,2,0.34,14,14%,2%,1.47,61,12,0.29,0.65,27,0.05,6.54,349,6,3.70,-,1.33,1.35,-,55,44,1,1.39,0,-,0,-,-,-,0,0.09,3.70,"1,402.00",-,84.82,"3,732",,,-,-,-,-,0.02,-,1,16,-,15,13,36%,61,16,0.09,-2.70,0.08,3.37,-,-,-,6.77,"3,732.00",2,44,27,347,27,-,-,,ENG
2002075975,- -  -,FrA,Maurice Carpenter,M/AM (R),,IRL,"5'7""",60 kg,,17,€0,Ireland,-,-,-,-,,Unknown,Arklow,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,IRL
5106160,- -  -,,Jon Shaw,D (C),Blyth,ENG,"6'1""",84 kg,,40,Unknown,England (Vanarama North),Vanarama National League North,30/6/2024,€350 p/w,-,,Unknown,Sheffield,D (C),N/A,N/A,2,-,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,-,3,-,0,-,0,-,-,-,12,-,13,92%,-,0,-,0,-,0,-,0,0,-,0,-,0,-,-,0,-,100%,-,2,-,0,0,-,-,-,0.00,-,0,-,3.7km,-,0,-,0,-,-,-,0,0,-,-,0,-,-,574,0,0.00,-,-,-,-,0,-,0,-,0,-,0,-,-,-,0,-,0.00,-,-,29.00,29,,,-,-,-,-,-,-,0,0,-,0,1,0%,0,0,-,0.00,-,0.00,-,-,-,6.70,-,0,0 (1),144,574,144,-,-,,ENG
28009494,- -  -,Wnt,Craig Mahon,M (C),,IRL,"5'9""",76 kg,,34,€0,England,-,-,-,-,,Unknown,Dublin,"M (C), AM (RLC), ST (RL)",N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,441,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,437,31,-,-,,IRL
52061207,- -  -,Ama,Shane Hallahan,GK,Ringmahon,IRL,"6'0""",83 kg,,29,Unknown,Ireland (Munster Premier Division),Irish Munster Senior League Premier Division,-,N/A,-,,Unknown,Cork,-,N/A,N/A,-,-,-,0,-,-,-,-,-,-,-,-,0,2,8,8,90%,0.00,0,0.00,0,0.00,0,7.00,7.50,9.25,37,20.00,80,46%,0.00,0,-,-,-,-,-,0,0,0.00,0,-,0,0.00,-,0,0.00,-,-,-,-,-,-,92%,0.77,3.06,0.00,-,0,5.2km,21.0km,-,-,-,-,-,-,7.50,-,0,-,-,-,-,-,63,0,0.00,4,1.75,0.50,2,7,4,0,1.80,1,-,0,-,0,0,0,0.00,0.00,-,87.00,90.00,360,,,-,-,-,-,-,2,0,3,-,1,0,75%,0,1,0.00,0.00,0.00,0.00,0.50,0.50,2,7.10,-,0,4,-,61,-,-,-,,IRL
2000041301,- -  -,Ask,Cuba Meyer,WB (L),Peterborough Sports,NED,"5'9""",71 kg,,20,Unknown,England (Vanarama North),Vanarama National League North,30/6/2024,€120 p/w,-,,Unknown,-,D/WB (RL),N/A,N/A,310,2.86,138,157,88%,0.66,47%,0.31,15,0.25,0.19,9,32,-,-,-,-,3.04,147,2.67,129,10.88,526,11.44,13.18,31.08,"1,502",37.41,"1,808",83%,1.37,66,1.08,52,8.09,391,13%,4,0,0.04,2,1.39,67,0.37,2.32,112,12.95,63%,4.06,196,2.36,0,0,-,-,-,0.10,1.22,59,13.0km,630.0km,1.08,52,8.26,399,13%,9%,2.05,99,26,0.54,0.89,43,0.25,6.41,50,6,3.31,-,1.28,1.20,-,62,50,1,1.34,4,-,0,-,-,-,0,0.07,3.31,632.00,-,87.00,"4,350",,,-,-,-,-,0.06,-,3,18,-,19,13,36%,86,46,0.07,-0.31,0.16,7.66,-,-,-,6.92,"1,450.00",12,50,3,45,3,-,-,,NED
29123132,- -  -,,Jake Wright,ST (C),Buxton,ENG,"5'9""",64 kg,,27,Unknown,England (Vanarama North),Vanarama National League North,30/6/2024,€350 p/w,-,,Unknown,Sheffield,ST (C),N/A,N/A,110,1.88,15,18,83%,2.26,50%,1.13,9,0.75,0.00,0,18,-,-,-,-,0.75,6,2.13,17,7.66,61,4.14,9.16,19.83,158,23.60,188,84%,0.63,5,0.00,0,1.00,8,0%,2,0,0.00,0,0.63,5,0.00,1.26,10,9.04,22%,3.01,24,10.79,0,0,-,-,-,0.18,1.26,10,13.8km,110.2km,0.00,0,1.00,8,-,28%,0.88,7,1,0.13,0.38,3,0.25,13.81,184,0,3.33,-,1.88,0.63,-,15,3,0,2.09,0,100%,2,-,-,-,2,0.22,1.75,250.00,-,21.09,717,,,-,-,-,-,0.63,-,5,21,-,5,8,62%,11,10,0.42,1.67,0.06,0.45,-,-,-,6.80,143.40,2,3 (31),54,180,55,-,-,,ENG
2000040375,- -  -,Wnt,Declyn Duggan,GK,,ENG,"6'6""",83 kg,,20,€0,England,-,-,-,-,,Unknown,-,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,ENG
29085990,- -  -,,Joe Hanks,M (C),Gloucester,ENG,"6'2""",72 kg,,29,Unknown,England (Vanarama North),Vanarama National League North,30/6/2024,€300 p/w,-,,Unknown,Gloucester,M (C),N/A,N/A,109,1.60,36,49,73%,1.07,33%,0.36,8,0.76,0.40,9,24,-,-,-,-,2.72,61,2.05,46,8.37,188,7.97,8.86,41.13,924,47.98,"1,078",86%,0.80,18,0.18,4,0.58,13,21%,2,1,0.00,0,1.69,38,0.67,1.29,29,9.97,50%,2.45,55,2.40,4,4,-,-,-,0.12,0.58,13,12.9km,288.8km,0.71,16,3.47,78,30%,25%,1.47,33,4,0.18,0.49,11,0.09,4.85,342,4,2.87,-,1.60,1.65,-,36,21,1,0.87,1,100%,2,-,-,-,2,0.06,1.29,311.00,-,51.85,"2,022",,,-,-,-,-,0.27,-,6,8,-,21,10,21%,31,13,0.13,3.13,0.10,2.26,-,-,-,6.80,337.00,2,21 (18),50,339,50,-,-,,ENG
2000238464,- -  -,,Max Brogan,M/AM (C),Buxton,ENG,"6'1""",62 kg,,21,Unknown,England (Vanarama North),Vanarama National League North,1/6/2024,€525 p/w,-,,Unknown,-,"M (C), AM (RLC), ST (RL)",N/A,N/A,19,1.57,8,10,80%,1.38,57%,0.79,4,0.59,0.00,0,7,-,-,-,-,2.16,11,2.95,15,12.97,66,6.68,6.68,40.87,208,45.98,234,89%,1.97,10,0.20,1,0.39,2,50%,0,0,0.00,0,2.36,12,0.00,1.97,10,4.72,26%,0.98,5,2.75,0,0,-,-,-,0.12,0.79,4,11.9km,60.7km,0.59,3,1.18,6,50%,-,0.98,5,4,0.79,-,0,0.79,3.73,66,1,0.87,-,1.77,0.98,-,9,4,0,2.35,0,-,0,-,-,-,0,0.17,0.87,-,-,50.89,458,,,-,-,-,-,-,-,0,7,-,1,1,78%,4,0,0.17,-0.87,0.24,1.24,-,-,-,6.94,-,4,4 (5),10,65,10,-,-,,ENG
90013911,- -  -,,Sam Walker,"DM, M (C)",King's Lynn,ENG,"5'9""",83 kg,,37,Unknown,England (Vanarama North),Vanarama National League North,30/6/2024,€575 p/w,-,,Unknown,Stockport,"DM, M (C)",N/A,N/A,49,2.00,24,38,63%,1.08,46%,0.50,6,0.92,0.08,1,13,-,-,-,-,4.83,58,4.58,55,12.65,152,8.24,10.57,52.95,636,61.19,735,87%,0.50,6,0.25,3,0.58,7,13%,1,0,0.08,1,0.58,7,0.25,0.58,7,13.49,59%,2.41,29,1.67,3,4,-,-,-,0.07,0.17,2,12.8km,154.3km,0.33,4,2.58,31,42%,23%,1.33,16,0,-,0.42,5,0.08,4.08,364,3,0.89,-,1.17,2.25,-,14,14,0,0.79,1,-,0,-,-,-,0,0.07,0.89,132.00,-,77.21,"1,081",,,-,-,-,-,0.25,-,3,2,-,7,5,14%,15,2,0.07,2.11,0.05,0.57,-,-,-,6.76,360.33,1,14,59,364,59,-,-,,ENG
29106981,- -  -,,Cameron Mason,GK,Curzon Ashton,ENG,"6'1""",78 kg,,28,Unknown,England (Vanarama North),Vanarama National League North,30/6/2024,€300 p/w,-,,Unknown,Oldham,GK,N/A,N/A,-,0.04,2,12,17%,-,-,-,-,-,-,-,0,44,95,105,74%,1.17,62,0.00,0,0.00,0,5.79,14.43,7.81,414,19.83,"1,051",39%,0.00,0,-,-,-,-,-,0,4,0.00,0,-,0,0.00,0.23,12,0.26,-,-,-,-,-,-,83%,0.04,2.22,0.00,-,0,4.5km,237.3km,-,-,-,-,-,-,10.26,-,0,-,-,-,-,-,279,0,0.00,4,1.09,1.74,92,58,53,0,0.92,2,-,0,17%,2,12,0,0.00,0.00,-,5.00,90.00,"4,770",,,-,-,-,-,-,92,0,13,-,30,10,25%,0,0,0.00,0.00,0.01,0.47,1.74,0.23,12,6.82,-,0,53,-,272,-,-,-,,ENG
52064346,- -  -,Ama,Sean Noble,"AM (R), ST (C)",Liffey Wanderers,IRL,"5'10""",68 kg,,28,Unknown,Ireland (Leinster Premier Division),Irish Leinster Senior League Premier Division,-,N/A,-,,Unknown,-,-,N/A,N/A,36,1.15,4,4,100%,0.86,0%,0.00,0,0.29,0.00,0,3,-,-,-,-,0.29,1,1.15,4,4.30,15,1.15,22.36,18.06,63,21.50,75,84%,0.29,1,0.57,2,0.86,3,67%,2,0,0.00,0,0.29,1,0.00,1.15,4,6.31,3%,0.29,1,10.03,0,0,-,-,-,0.16,1.15,4,11.4km,39.9km,0.57,2,0.86,3,66%,-,0.57,2,0,-,0.29,1,-,10.32,75,0,0.48,-,0.57,2.58,-,2,4,0,0.90,0,-,0,-,-,-,0,0.14,0.48,-,-,78.50,314,,,-,-,-,-,-,-,0,0,-,4,0,0%,2,11,0.14,-0.48,0.02,0.07,-,-,-,6.55,-,0,4,13,72,14,-,-,,IRL
52077465,- -  -,Ama,Kieran Hanlon,ST (C),Carew Park,IRL,"6'0""",106 kg,,29,Unknown,Ireland (Irish Lower Division),Irish Lower Division,-,N/A,-,,Unknown,-,-,N/A,N/A,0,1.25,5,6,83%,2.25,44%,1.00,4,0.00,0.00,0,9,-,-,-,-,0.00,0,0.00,0,0.00,0,0.00,0.00,11.75,47,20.00,80,59%,0.00,0,0.00,0,0.00,0,-,0,0,0.00,0,-,0,0.00,-,0,0.00,-,-,-,-,0,0,-,-,-,0.08,-,0,0.0km,0.0km,0.00,0,0.00,0,-,11%,0.00,0,0,-,-,0,0.25,-,88,0,0.69,-,0.00,0.00,-,0,4,0,1.30,0,-,0,-,-,-,0,0.17,0.69,0.00,-,90.00,360,,,-,-,-,-,0.25,-,1,0,-,0,4,0%,5,5,0.17,0.31,0.00,0.01,-,-,-,7.12,360.00,1,4,17,88,17,-,-,,IRL
52092740,- -  -,Ama,Darren Collins,ST (C),Mervue Utd,IRL,"5'10""",72 kg,,23,Unknown,Ireland (Galway Premier Division),Irish Galway Junior Premier Division,-,N/A,-,,Unknown,Castlebar,-,N/A,N/A,45,0.50,2,2,100%,1.75,43%,0.75,3,0.50,0.00,0,7,-,-,-,-,0.00,0,0.50,2,5.25,21,2.25,17.25,20.00,80,23.25,93,86%,0.00,0,0.00,0,0.25,1,0%,2,0,0.00,0,-,0,0.00,1.50,6,6.00,20%,2.25,9,9.00,0,0,-,-,-,0.08,1.25,5,11.5km,46.1km,0.00,0,0.25,1,-,29%,1.00,4,0,-,0.50,2,-,11.25,42,0,0.59,-,1.25,2.50,-,5,4,0,1.10,0,-,0,-,-,-,0,0.15,0.59,0.00,-,90.00,360,,,-,-,-,-,0.50,-,2,0,-,2,2,0%,7,7,0.15,1.41,0.03,0.11,-,-,-,6.33,180.00,0,4,7,42,7,-,-,,IRL
52101126,- -  -,Ama,Darragh Lynch,ST (C),Wayside Celtic,IRL,"5'10""",74 kg,,21,Unknown,Ireland (Leinster Premier Division),Irish Leinster Senior League Premier Division,-,N/A,-,,Unknown,-,-,N/A,N/A,24,1.20,6,9,67%,1.80,33%,0.60,3,0.00,0.00,0,9,-,-,-,-,0.00,0,0.00,0,2.60,13,1.00,10.80,13.80,69,20.40,102,68%,0.00,0,0.00,0,0.00,0,-,0,0,0.00,0,-,0,0.00,0.80,4,2.20,42%,2.00,10,2.80,0,0,-,-,-,0.08,0.80,4,4.6km,23.0km,0.00,0,0.00,0,-,11%,0.40,2,0,-,-,0,0.40,4.80,86,0,0.76,-,0.40,1.00,-,2,5,0,1.05,0,-,0,-,-,-,0,0.15,0.76,0.00,-,90.00,450,,,-,-,-,-,0.20,-,1,0,-,2,3,0%,4,12,0.15,0.24,0.01,0.06,-,-,-,7.24,450.00,2,5,25,83,26,-,-,,IRL
8611502,- -  -,,James Curtis,D (C),Spennymoor,ENG,"6'7""",87 kg,,42,Unknown,England (Vanarama North),Vanarama National League North,30/6/2024,€350 p/w,-,,Unknown,Sunderland,D (C),N/A,N/A,244,0.71,18,19,95%,0.78,25%,0.20,5,0.08,0.31,8,20,-,-,-,-,3.45,88,0.63,16,1.41,36,11.89,9.57,42.25,"1,077",51.75,"1,319",82%,0.27,7,0.00,0,0.04,1,0%,0,0,0.16,4,0.27,7,2.08,0.63,16,5.14,85%,8.12,207,1.45,0,0,-,-,-,0.08,0.04,1,10.7km,272.0km,0.00,0,0.04,1,-,5%,1.84,47,2,0.08,0.39,10,0.04,9.57,762,3,1.59,-,1.29,1.10,-,33,24,0,1.73,1,-,0,-,-,-,0,0.06,1.59,831.00,-,55.95,"2,294",,,-,-,-,-,0.04,-,1,20,-,10,11,49%,15,3,0.06,-0.59,0.02,0.52,-,-,-,6.75,"2,294.00",1,24 (17),22,761,22,-,-,,ENG
52097528,- -  -,Ama,Brandon Holt,M (C),Malahide Utd,IRL,"5'10""",71 kg,,21,Unknown,Ireland (Leinster Premier Division),Irish Leinster Senior League Premier Division,-,N/A,-,,Unknown,-,-,N/A,N/A,9,1.70,5,6,83%,0.34,100%,0.34,1,0.00,0.00,0,1,-,-,-,-,2.73,8,2.73,8,11.25,33,27.61,9.20,35.11,103,42.61,125,82%,0.68,2,0.00,0,0.68,2,0%,0,0,0.00,0,0.68,2,0.00,1.36,4,8.18,33%,1.02,3,2.05,0,0,-,-,-,0.15,0.34,1,13.0km,38.0km,0.00,0,0.68,2,-,-,1.36,4,1,0.34,0.68,2,-,3.07,27,1,0.15,-,2.73,0.68,-,8,4,0,2.10,0,-,0,-,-,-,0,0.05,0.15,-,-,66.00,264,,,-,-,-,-,-,-,0,4,-,0,0,100%,4,0,0.05,-0.15,0.00,0.01,-,-,-,6.80,-,0,4,2,24,2,-,-,,IRL
52009533,- -  -,Ama,Noel Haverty,D (RC),Clane Utd,IRL,"5'11""",73 kg,,35,Unknown,Ireland (Kildare District League),Irish Kildare & District League Premier Division,-,N/A,-,,Unknown,Kildare,-,N/A,N/A,0,1.50,6,6,100%,0.25,100%,0.25,1,0.00,0.00,0,1,-,-,-,-,0.00,0,0.00,0,0.00,0,0.00,0.00,13.75,55,20.00,80,69%,0.00,0,0.00,0,0.00,0,-,0,0,0.00,0,-,0,0.00,-,0,0.00,-,-,-,-,0,0,-,-,-,0.09,-,0,0.0km,0.0km,0.00,0,0.00,0,-,100%,0.00,0,0,-,-,0,0.25,-,151,0,0.09,-,0.00,0.00,-,0,4,0,1.30,0,-,0,-,-,-,0,0.02,0.09,0.00,-,90.00,360,,,-,-,-,-,0.25,-,1,0,-,0,4,0%,2,1,0.02,0.91,0.00,0.00,-,-,-,6.90,360.00,1,4,9,151,9,-,-,,IRL
52096226,- -  -,Ama,Tumelo Tlou,D (R),Kilnamanagh,IRL,"6'0""",76 kg,,22,Unknown,Ireland (Leinster First Division),Irish Leinster Senior League First Division,-,N/A,-,,Unknown,-,-,N/A,N/A,0,2.25,9,10,90%,1.00,25%,0.25,1,0.00,0.00,0,4,-,-,-,-,0.00,0,0.00,0,0.00,0,0.00,0.00,13.50,54,20.00,80,68%,0.00,0,0.00,0,0.00,0,-,0,0,0.00,0,-,0,0.00,-,0,0.00,-,-,-,-,0,0,-,-,-,0.12,-,0,0.0km,0.0km,0.00,0,0.00,0,-,-,0.00,0,0,-,-,0,-,-,46,0,0.47,-,0.00,0.00,-,0,4,0,1.30,0,-,0,-,-,-,0,0.12,0.47,-,-,90.00,360,,,-,-,-,-,-,-,0,0,-,0,4,0%,4,6,0.12,-0.47,0.00,0.00,-,-,-,7.08,-,0,4,1,45,2,-,-,,IRL
